5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 
10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 
15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 
15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 
15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 
15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 
10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 
5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 
0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 0, 15, 15, 0, 
0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 0, 10, 15, 5, 
0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 0, 5, 15, 10, 
